litros	precio	pre1	pre2	pre3	pre4
5462	0.987	1.264	1.304	1.285	1.254
5593	1.309	1.209	1.279	1.309	1.275
6410	1.239	1.289	1.279	1.309	1.215
5488	1.309	1.285	1.269	1.252	1.269
5522	1.259	1.299	1.189	1.249	1.209
5622	1.159	1.289	1.289	1.219	1.197
5171	1.239	1.249	1.239	1.239	1.239
5647	1.169	1.269	1.258	1.239	1.209
5543	1.243	1.209	1.258	1.239	1.229
5402	1.246	1.249	1.258	1.21	1.229
5807	1.189	1.249	1.258	1.135	1.229
5330	1.279	1.259	1.249	1.229	1.239
5161	1.329	1.239	1.319	1.269	1.259
5374	1.149	1.249	1.249	1.239	1.219
5959	1.279	1.258	1.254	1.239	1.224
5952	1.296	1.196	1.254	1.249	1.149
4628	1.159	1.279	1.229	1.234	1.199
5620	1.139	1.198	1.259	1.249	1.209
5400	1.219	1.239	1.269	1.279	1.179
6000	1.219	1.289	1.249	1.289	1.219
5000	1.299	1.179	1.289	1.157	1.199
7000	1.179	1.306	1.21	1.239	1.219
5202	1.227	1.299	0.939	1.179	1.259
5759	1.289	1.244	1.279	1.289	1.224
7493	1.199	1.283	1.169	1.289	1.286
4078	1.329	1.299	1.309	1.239	1.299
6306	1.266	1.279	1.279	1.209	1.259
6306	1.309	1.299	1.284	1.299	1.269
4403	1.299	1.244	1.309	1.163	1.319
5599	1.109	1.149	1.299	1.295	1.261
3571	1.219	1.259	1.299	1.295	1.269
