state,city,county,zip_code,longitud,latitude
ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,"-2,509361","42,846028"
ÁLAVA,AMURRIO,LARRINBE,01468,"-2,989111","43,044333"
ÁLAVA,AMURRIO,LEZAMA,01450,"-2,967611","43,031889"
ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,"-2,616361","42,876861"
ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,"-2,639528","42,941417"
ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,"-3,122528","43,123361"
ÁLAVA,ASPARRENA,ILARDUIA,01260,"-2,278694","42,866417"
ÁLAVA,CAMPEZO/KANPEZU,SANTA CRUZ CAMPEZO,01110,"-2,357278","42,670222"
ÁLAVA,ELBURGO/BURGELU,ELBURGO/BURGELU,01192,"-2,518167","42,878556"
ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"-2,772250","42,823778"
ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"-2,774750","42,825250"
ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"-2,770694","42,824389"
ÁLAVA,LABASTIDA,SALINILLAS DE BURADON,01212,"-2,849833","42,635194"
ÁLAVA,LAGUARDIA,LAGUARDIA,01300,"-2,578806","42,547639"
ÁLAVA,LANTARÓN,PUENTELARRÁ/LARRAZUBI,01423,"-3,045750","42,755583"
ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"-2,951361","43,148639"
ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"-2,968000","43,138000"
ÁLAVA,OYÓN/OION,OYON-OION,01320,"-2,432278","42,490611"
ÁLAVA,RIBERA ALTA,POBES,01420,"-2,901944","42,811250"
ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,"-2,920667","42,692917"
ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,"-2,917639","42,704639"
ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,"-2,906944","42,710639"
ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"-2,913222","42,741361"
ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"-2,913306","42,743111"
ÁLAVA,SALVATIERRA/AGURAIN,SALVATIERRA O AGURAIN,01200,"-2,394583","42,848944"
ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"-2,320361","42,863500"
ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"-2,314083","42,871167"
ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"-2,324083","42,863583"
ÁLAVA,VITORIA-GASTEIZ,ARANGUIZ,01196,"-2,702278","42,895667"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,712722","42,863778"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,693722","42,849028"
ÁLAVA,VITORIA-GASTEIZ,SUBIJANA DE ALAVA,01195,"-2,778694","42,818944"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,672944","42,855000"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,710500","42,864944"
ÁLAVA,VITORIA-GASTEIZ,ZUAZO DE VITORIA/ZUHATZU,01195,"-2,722278","42,829528"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01007,"-2,700972","42,837111"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,656861","42,856194"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,716389","42,857194"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,678833","42,868611"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,664278","42,860306"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,708611","42,854694"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01008,"-2,682278","42,842833"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,"-2,658222","42,836833"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01015,"-2,741917","42,845639"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"-2,709972","42,852417"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,653139","42,864694"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,661139","42,865278"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01195,"-2,721583","42,857472"
ÁLAVA,VITORIA-GASTEIZ,LOPIDANA,01196,"-2,712472","42,877139"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,660222","42,864667"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01002,"-2,648306","42,849778"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"-2,661694","42,859278"
ÁLAVA,VITORIA-GASTEIZ,ARCAUTE,01192,"-2,632167","42,852722"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,"-2,664500","42,838722"
ÁLAVA,VITORIA-GASTEIZ,LOPIDANA,01196,"-2,714472","42,878694"
ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01007,"-2,698917","42,836778"
ÁLAVA,VITORIA-GASTEIZ,ABERASTURI,01193,"-2,703306","42,860083"
ÁLAVA,ZUIA,ALTUBE,01139,"-2,873583","42,966472"
ÁLAVA,ZUIA,ALTUBE,01139,"-2,870083","42,966111"
ÁLAVA,ZUIA,MURGIA,01130,"-2,827722","42,961583"
ALBACETE,ABENGIBRE,ABENGIBRE,02250,"-1,539167","39,211417"
ALBACETE,ALATOZ,ALATOZ,02152,"-1,346083","39,100389"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,875944","38,963972"
ALBACETE,ALBACETE,ALBACETE,02006,"-2,031861","38,925833"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,885694","39,009417"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,878111","39,009639"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,882056","39,022139"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,869889","38,998222"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,853306","38,982167"
ALBACETE,ALBACETE,ALBACETE,02099,"-1,831639","38,929389"
ALBACETE,ALBACETE,SALOBRAL (EL),02140,"-1,920500","38,867556"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,889417","39,012472"
ALBACETE,ALBACETE,ALBACETE,02002,"-1,849028","38,989250"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,831611","38,998111"
ALBACETE,ALBACETE,AGUAS NUEVAS,02049,"-1,915694","38,923889"
ALBACETE,ALBACETE,ALBACETE,02004,"-1,919778","38,970167"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,893944","39,016361"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,847083","38,984139"
ALBACETE,ALBACETE,ALBACETE,02005,"-1,864917","39,003333"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,866806","38,985194"
